{'distance': 0.021810000762343407, 'elevation': 0, 'calories': 27.95393943786621, 'pulse': '135', 'floors': 0, 'bp': '99/44', 'steps': 30}
{'distance': 0.18975000083446503, 'elevation': 3.0480000972747803, 'calories': 46.26005935668945, 'pulse': '153', 'floors': 1, 'bp': '104/27', 'steps': 261}
{'distance': 0.19922000169754028, 'elevation': 0, 'calories': 50.2181396484375, 'pulse': '81', 'floors': 0, 'bp': '91/07', 'steps': 274}
{'distance': 0.1199600026011467, 'elevation': 6.0960001945495605, 'calories': 40.0755615234375, 'pulse': 200, 'floors': 2, 'bp': '75/25', 'steps': 165}
{'distance': 0.05235999822616577, 'elevation': 0, 'calories': 32.28308868408203, 'pulse': '186', 'floors': 0, 'bp': '140/39', 'steps': 72}
{'distance': 0.05816999822854996, 'elevation': 0, 'calories': 32.28308868408203, 'pulse': '154', 'floors': 0, 'bp': '141/55', 'steps': 80}
{'distance': 0.1534000039100647, 'elevation': 0, 'calories': 42.05459976196289, 'pulse': '188', 'floors': 0, 'bp': '172/75', 'steps': 211}
{'distance': 0, 'elevation': 0, 'calories': 19.91408920288086, 'pulse': 200, 'floors': 0, 'bp': '123/33', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 21.645750045776367, 'pulse': '81', 'floors': 0, 'bp': '198/93', 'steps': 0}
{'distance': 0.021810000762343407, 'elevation': 0, 'calories': 24.614309310913086, 'pulse': 200, 'floors': 0, 'bp': '143/25', 'steps': 30}
{'distance': 0.4304099977016449, 'elevation': 3.0480000972747803, 'calories': 67.78211975097656, 'pulse': '105', 'floors': 1, 'bp': '112/99', 'steps': 592}
{'distance': 0.06908000260591507, 'elevation': 0, 'calories': 36.98331069946289, 'pulse': 200, 'floors': 0, 'bp': '104/38', 'steps': 95}
{'distance': 0.06543000042438507, 'elevation': 0, 'calories': 32.53047180175781, 'pulse': 200, 'floors': 0, 'bp': '198/22', 'steps': 90}
{'distance': 0.07636000216007233, 'elevation': 3.0480000972747803, 'calories': 38.220211029052734, 'pulse': '133', 'floors': 1, 'bp': '87/75', 'steps': 105}
{'distance': 0.01817999966442585, 'elevation': 0, 'calories': 25.85120964050293, 'pulse': '196', 'floors': 0, 'bp': '183/03', 'steps': 25}
{'distance': 0.024709999561309814, 'elevation': 0, 'calories': 26.964420318603516, 'pulse': '155', 'floors': 0, 'bp': '175/04', 'steps': 34}
{'distance': 0.02181999944150448, 'elevation': 0, 'calories': 27.21179962158203, 'pulse': '168', 'floors': 0, 'bp': '134/51', 'steps': 30}
{'distance': 0.1192300021648407, 'elevation': 0, 'calories': 38.59128189086914, 'pulse': '97', 'floors': 0, 'bp': '93/63', 'steps': 164}
{'distance': 0.11412999778985977, 'elevation': 0, 'calories': 36.859619140625, 'pulse': '95', 'floors': 0, 'bp': '180/30', 'steps': 157}
{'distance': 0.07487999647855759, 'elevation': 0, 'calories': 31.912019729614258, 'pulse': '102', 'floors': 0, 'bp': '82/19', 'steps': 103}
{'distance': 0.04799000173807144, 'elevation': 3.0480000972747803, 'calories': 24.738000869750977, 'pulse': '198', 'floors': 1, 'bp': '148/67', 'steps': 66}
{'distance': 0, 'elevation': 0, 'calories': 22.387889862060547, 'pulse': 200, 'floors': 0, 'bp': '90/80', 'steps': 0}
{'distance': 0.05161000043153763, 'elevation': 0, 'calories': 30.180360794067383, 'pulse': '89', 'floors': 0, 'bp': '79/04', 'steps': 71}
{'distance': 0.09888000041246414, 'elevation': 6.0960001945495605, 'calories': 37.72544860839844, 'pulse': '169', 'floors': 2, 'bp': '163/72', 'steps': 136}
{'distance': 0.15411999821662903, 'elevation': 3.0480000972747803, 'calories': 44.775779724121094, 'pulse': '93', 'floors': 1, 'bp': '139/23', 'steps': 212}
{'distance': 0.11485999822616577, 'elevation': 0, 'calories': 43.909950256347656, 'pulse': '99', 'floors': 0, 'bp': '84/97', 'steps': 158}
{'distance': 0.22318999469280243, 'elevation': 0, 'calories': 47.373268127441406, 'pulse': '115', 'floors': 0, 'bp': '191/19', 'steps': 307}
{'distance': 0.008729999884963036, 'elevation': 0, 'calories': 27.088109970092773, 'pulse': '167', 'floors': 0, 'bp': '97/43', 'steps': 12}
{'distance': 0.003640000009909272, 'elevation': 0, 'calories': 25.10906982421875, 'pulse': '87', 'floors': 0, 'bp': '79/06', 'steps': 5}
{'distance': 0.13741999864578247, 'elevation': 3.0480000972747803, 'calories': 41.807220458984375, 'pulse': 200, 'floors': 1, 'bp': '99/48', 'steps': 189}
{'distance': 0, 'elevation': 0, 'calories': 23.501100540161133, 'pulse': 200, 'floors': 0, 'bp': '149/83', 'steps': 0}
{'distance': 0.010900000110268593, 'elevation': 0, 'calories': 26.964420318603516, 'pulse': '184', 'floors': 0, 'bp': '111/93', 'steps': 15}
{'distance': 0.010180000215768814, 'elevation': 0, 'calories': 24.985380172729492, 'pulse': '180', 'floors': 0, 'bp': '86/25', 'steps': 14}
{'distance': 0.020360000431537628, 'elevation': 0, 'calories': 28.69607925415039, 'pulse': '80', 'floors': 0, 'bp': '98/72', 'steps': 28}
{'distance': 0.022549999877810478, 'elevation': 0, 'calories': 25.974899291992188, 'pulse': 200, 'floors': 0, 'bp': '163/50', 'steps': 31}
{'distance': 0.09014999866485596, 'elevation': 0, 'calories': 39.5807991027832, 'pulse': '99', 'floors': 0, 'bp': '85/80', 'steps': 124}
{'distance': 0, 'elevation': 0, 'calories': 22.511579513549805, 'pulse': '174', 'floors': 0, 'bp': '81/29', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.88265037536621, 'pulse': '192', 'floors': 0, 'bp': '92/69', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 72.60603332519531, 'pulse': '99', 'floors': 0, 'bp': '135/26', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.387889862060547, 'pulse': '90', 'floors': 0, 'bp': '70/76', 'steps': 0}
{'distance': 0.00872000027447939, 'elevation': 0, 'calories': 25.480140686035156, 'pulse': '185', 'floors': 0, 'bp': '72/02', 'steps': 12}
{'distance': 0.11488000303506851, 'elevation': 3.0480000972747803, 'calories': 41.06507873535156, 'pulse': '121', 'floors': 1, 'bp': '92/47', 'steps': 158}
{'distance': 0, 'elevation': 0, 'calories': 23.00634002685547, 'pulse': '151', 'floors': 0, 'bp': '132/69', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 23.130029678344727, 'pulse': '115', 'floors': 0, 'bp': '119/91', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.635269165039062, 'pulse': 200, 'floors': 0, 'bp': '123/14', 'steps': 0}
{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 24.36693000793457, 'pulse': 200, 'floors': 0, 'bp': '80/42', 'steps': 7}
{'distance': 0, 'elevation': 0, 'calories': 22.26420021057129, 'pulse': 200, 'floors': 0, 'bp': '123/90', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.511579513549805, 'pulse': '88', 'floors': 0, 'bp': '85/33', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.14051055908203, 'pulse': '105', 'floors': 0, 'bp': '93/63', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.26420021057129, 'pulse': '165', 'floors': 0, 'bp': '89/74', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 20.656230926513672, 'pulse': '93', 'floors': 0, 'bp': '77/06', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '169', 'floors': 0, 'bp': '90/79', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '180', 'floors': 0, 'bp': '182/43', 'steps': 0}
