{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 25.599689483642578, 'pulse': 200, 'floors': 0, 'bp': '166/51', 'steps': 7}
{'distance': 0.022539999336004257, 'elevation': 0, 'calories': 53.05442810058594, 'pulse': '97', 'floors': 0, 'bp': '81/06', 'steps': 31}
{'distance': 0.17520999908447266, 'elevation': 6.0960001945495605, 'calories': 53.05442810058594, 'pulse': '116', 'floors': 2, 'bp': '88/54', 'steps': 241}
{'distance': 0.09014999866485596, 'elevation': 3.0480000972747803, 'calories': 41.058441162109375, 'pulse': 200, 'floors': 1, 'bp': '183/99', 'steps': 124}
{'distance': 0.013089999556541443, 'elevation': 0, 'calories': 27.083730697631836, 'pulse': '84', 'floors': 0, 'bp': '74/07', 'steps': 18}
{'distance': 0.14831000566482544, 'elevation': 0, 'calories': 48.231300354003906, 'pulse': '97', 'floors': 0, 'bp': '94/41', 'steps': 204}
{'distance': 0.04653000086545944, 'elevation': 0, 'calories': 31.164840698242188, 'pulse': 200, 'floors': 0, 'bp': '93/06', 'steps': 64}
{'distance': 0.042890001088380814, 'elevation': 0, 'calories': 31.78318977355957, 'pulse': '170', 'floors': 0, 'bp': '87/87', 'steps': 59}
{'distance': 0, 'elevation': 0, 'calories': 23.620969772338867, 'pulse': 200, 'floors': 0, 'bp': '199/43', 'steps': 0}
{'distance': 0.40641000866889954, 'elevation': 12.192000389099121, 'calories': 68.51318359375, 'pulse': 200, 'floors': 4, 'bp': '70/29', 'steps': 559}
{'distance': 0.8375200033187866, 'elevation': 9.144000053405762, 'calories': 98.19397735595703, 'pulse': 200, 'floors': 3, 'bp': '112/13', 'steps': 1152}
{'distance': 0.4180299937725067, 'elevation': 0, 'calories': 86.94001007080078, 'pulse': '86', 'floors': 0, 'bp': '170/10', 'steps': 575}
{'distance': 0, 'elevation': 0, 'calories': 28.815109252929688, 'pulse': '184', 'floors': 0, 'bp': '70/56', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 26.094369888305664, 'pulse': '85', 'floors': 0, 'bp': '94/23', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 24.981340408325195, 'pulse': '84', 'floors': 0, 'bp': '128/37', 'steps': 0}
{'distance': 0.09668000042438507, 'elevation': 3.0480000972747803, 'calories': 35.493289947509766, 'pulse': '160', 'floors': 1, 'bp': '187/39', 'steps': 133}
{'distance': 0.029090000316500664, 'elevation': 0, 'calories': 31.164840698242188, 'pulse': '89', 'floors': 0, 'bp': '76/13', 'steps': 40}
{'distance': 0.0210999995470047, 'elevation': 0, 'calories': 31.164840698242188, 'pulse': '98', 'floors': 0, 'bp': '94/05', 'steps': 29}
{'distance': 0.04506999999284744, 'elevation': 0, 'calories': 42.29513931274414, 'pulse': '99', 'floors': 0, 'bp': '98/01', 'steps': 62}
{'distance': 0.0516199991106987, 'elevation': 0, 'calories': 30.546489715576172, 'pulse': '109', 'floors': 0, 'bp': '72/11', 'steps': 71}
{'distance': 0.010900000110268593, 'elevation': 0, 'calories': 27.083730697631836, 'pulse': '95', 'floors': 0, 'bp': '85/32', 'steps': 15}
{'distance': 0.025450000539422035, 'elevation': 0, 'calories': 28.073089599609375, 'pulse': '144', 'floors': 0, 'bp': '140/61', 'steps': 35}
{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 24.36298942565918, 'pulse': '86', 'floors': 0, 'bp': '88/91', 'steps': 7}
{'distance': 0, 'elevation': 0, 'calories': 22.5079402923584, 'pulse': '91', 'floors': 0, 'bp': '146/85', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.38426971435547, 'pulse': '87', 'floors': 0, 'bp': '83/28', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.26059913635254, 'pulse': '95', 'floors': 0, 'bp': '92/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.38426971435547, 'pulse': '184', 'floors': 0, 'bp': '78/03', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.5079402923584, 'pulse': 200, 'floors': 0, 'bp': '187/53', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.663530349731445, 'pulse': 200, 'floors': 0, 'bp': '79/92', 'steps': 0}
{'distance': 0.05017000064253807, 'elevation': 0, 'calories': 30.051809310913086, 'pulse': '85', 'floors': 0, 'bp': '196/93', 'steps': 69}
{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 22.5079402923584, 'pulse': '179', 'floors': 0, 'bp': '78/36', 'steps': 7}
{'distance': 0.013810000382363796, 'elevation': 0, 'calories': 22.878950119018555, 'pulse': 200, 'floors': 0, 'bp': '84/00', 'steps': 19}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '94', 'floors': 0, 'bp': '94/56', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.674169540405273, 'pulse': '128', 'floors': 0, 'bp': '83/70', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.921510696411133, 'pulse': '181', 'floors': 0, 'bp': '95/31', 'steps': 0}
