{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 20.410499572753906, 'pulse': '84', 'floors': 0, 'bp': '135/25', 'steps': 7}
{'distance': 0.7437400221824646, 'elevation': 0, 'calories': 87.70330047607422, 'pulse': '85', 'floors': 0, 'bp': '85/48', 'steps': 1023}
{'distance': 0.0058200000785291195, 'elevation': 0, 'calories': 24.368900299072266, 'pulse': 200, 'floors': 0, 'bp': '107/91', 'steps': 8}
{'distance': 0.030540000647306442, 'elevation': 0, 'calories': 46.6348991394043, 'pulse': '99', 'floors': 0, 'bp': '133/15', 'steps': 42}
{'distance': 0, 'elevation': 0, 'calories': 22.389699935913086, 'pulse': 200, 'floors': 0, 'bp': '137/05', 'steps': 0}
{'distance': 0.14322000741958618, 'elevation': 0, 'calories': 42.67649841308594, 'pulse': '95', 'floors': 0, 'bp': '108/82', 'steps': 197}
{'distance': 0.934939980506897, 'elevation': 3.0480000972747803, 'calories': 120.11270141601562, 'pulse': '91', 'floors': 1, 'bp': '106/27', 'steps': 1286}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '95', 'floors': 0, 'bp': '76/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '197/41', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '83', 'floors': 0, 'bp': '166/21', 'steps': 0}
{'distance': 0.5896000266075134, 'elevation': 0, 'calories': 86.96109771728516, 'pulse': 200, 'floors': 0, 'bp': '99/41', 'steps': 811}
{'distance': 0.11415000259876251, 'elevation': 0, 'calories': 45.76900100708008, 'pulse': 200, 'floors': 0, 'bp': '75/81', 'steps': 157}
{'distance': 0, 'elevation': 0, 'calories': 46.75859832763672, 'pulse': 200, 'floors': 0, 'bp': '170/21', 'steps': 0}
{'distance': 0.09960000216960907, 'elevation': 0, 'calories': 39.21289825439453, 'pulse': 200, 'floors': 0, 'bp': '112/50', 'steps': 137}
{'distance': 0.18028999865055084, 'elevation': 0, 'calories': 47.00600051879883, 'pulse': '108', 'floors': 0, 'bp': '71/57', 'steps': 248}
{'distance': 0.01889999955892563, 'elevation': 0, 'calories': 27.090299606323242, 'pulse': '106', 'floors': 0, 'bp': '83/99', 'steps': 26}
{'distance': 0.00872000027447939, 'elevation': 0, 'calories': 24.98740005493164, 'pulse': 200, 'floors': 0, 'bp': '197/73', 'steps': 12}
{'distance': 0.06616000086069107, 'elevation': 0, 'calories': 34.759700775146484, 'pulse': '84', 'floors': 0, 'bp': '97/05', 'steps': 91}
{'distance': 0.0058200000785291195, 'elevation': 0, 'calories': 24.86370086669922, 'pulse': '87', 'floors': 0, 'bp': '72/63', 'steps': 8}
{'distance': 0.0058200000785291195, 'elevation': 0, 'calories': 24.616300582885742, 'pulse': '155', 'floors': 0, 'bp': '113/03', 'steps': 8}
{'distance': 0, 'elevation': 0, 'calories': 22.637100219726562, 'pulse': '178', 'floors': 0, 'bp': '73/61', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.88450050354004, 'pulse': '86', 'floors': 0, 'bp': '167/95', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.389699935913086, 'pulse': '140', 'floors': 0, 'bp': '91/78', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.637100219726562, 'pulse': '129', 'floors': 0, 'bp': '97/84', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.389699935913086, 'pulse': '128', 'floors': 0, 'bp': '86/56', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 23.503000259399414, 'pulse': '84', 'floors': 0, 'bp': '179/27', 'steps': 0}
{'distance': 0.009449999779462814, 'elevation': 0, 'calories': 25.72960090637207, 'pulse': '82', 'floors': 0, 'bp': '192/57', 'steps': 13}
{'distance': 0, 'elevation': 0, 'calories': 23.255599975585938, 'pulse': '87', 'floors': 0, 'bp': '81/27', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 23.37929916381836, 'pulse': '130', 'floors': 0, 'bp': '120/73', 'steps': 0}
{'distance': 0.6019499897956848, 'elevation': 0, 'calories': 77.06510162353516, 'pulse': '117', 'floors': 0, 'bp': '193/31', 'steps': 828}
{'distance': 0, 'elevation': 0, 'calories': 23.503000259399414, 'pulse': '93', 'floors': 0, 'bp': '133/31', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.760799407958984, 'pulse': '163', 'floors': 0, 'bp': '119/03', 'steps': 0}
{'distance': 0.20646999776363373, 'elevation': 0, 'calories': 54.79909896850586, 'pulse': '131', 'floors': 0, 'bp': '158/43', 'steps': 284}
{'distance': 0.12139999866485596, 'elevation': 0, 'calories': 44.903099060058594, 'pulse': '90', 'floors': 0, 'bp': '79/36', 'steps': 167}
{'distance': 0.0058200000785291195, 'elevation': 0, 'calories': 26.719200134277344, 'pulse': '96', 'floors': 0, 'bp': '96/99', 'steps': 8}
{'distance': 0.11123000085353851, 'elevation': 3.0480000972747803, 'calories': 36.120399475097656, 'pulse': '90', 'floors': 1, 'bp': '177/32', 'steps': 153}
{'distance': 0, 'elevation': 0, 'calories': 22.389699935913086, 'pulse': '88', 'floors': 0, 'bp': '182/10', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.266000747680664, 'pulse': 200, 'floors': 0, 'bp': '75/43', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.266000747680664, 'pulse': 200, 'floors': 0, 'bp': '80/39', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.14229965209961, 'pulse': '96', 'floors': 0, 'bp': '73/81', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.266000747680664, 'pulse': '108', 'floors': 0, 'bp': '88/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.513399124145508, 'pulse': '96', 'floors': 0, 'bp': '122/33', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.266000747680664, 'pulse': 200, 'floors': 0, 'bp': '78/64', 'steps': 0}
{'distance': 0.06905999779701233, 'elevation': 0, 'calories': 35.996700286865234, 'pulse': 200, 'floors': 0, 'bp': '102/30', 'steps': 95}
{'distance': 0.03779999911785126, 'elevation': 0, 'calories': 30.306499481201172, 'pulse': 200, 'floors': 0, 'bp': '87/97', 'steps': 52}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '146', 'floors': 0, 'bp': '74/36', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '158', 'floors': 0, 'bp': '103/54', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '191', 'floors': 0, 'bp': '131/98', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '104/34', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '160', 'floors': 0, 'bp': '82/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '193', 'floors': 0, 'bp': '161/66', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '92', 'floors': 0, 'bp': '92/64', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '85/33', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '151', 'floors': 0, 'bp': '183/15', 'steps': 0}
{'distance': 0.003640000009909272, 'elevation': 0, 'calories': 20.286800384521484, 'pulse': 200, 'floors': 0, 'bp': '91/87', 'steps': 5}
{'distance': 0.07778999954462051, 'elevation': 0, 'calories': 42.18170166015625, 'pulse': 200, 'floors': 0, 'bp': '75/24', 'steps': 107}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '119', 'floors': 0, 'bp': '185/47', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '171', 'floors': 0, 'bp': '103/26', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '151/49', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '99', 'floors': 0, 'bp': '141/25', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '194', 'floors': 0, 'bp': '73/51', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '87', 'floors': 0, 'bp': '162/64', 'steps': 0}
